id,objective_id,group_id,comment,issues_raised,created_at,updated_at,discussion_point_id
1,1,00000001,TEST,,"2026-01-09 15:22:34","2026-01-12 14:04:14",1
9,1,00100224,"trained and well understood on our Agenda",,"2026-01-09 15:22:34","2026-01-14 06:54:48",1
16,1,00100168,"well noted our mission on financial inclusion",,"2026-01-09 15:22:34","2026-01-14 18:16:44",1
23,1,00100215,"well understood by the group members, motivated them to accommodate youths  in the group",,"2026-01-09 15:22:34","2026-01-12 17:30:26",1
42,1,00100278,"trained and encouraged more recruitment in the group since they were only 5members. To target the youth and also women.",,"2026-01-09 15:22:34","2026-01-14 17:24:42",1
57,1,00100033,"the group understood the  our mission, Encouraged them to recruit in more members and one of the client promised to bring in two new members in the next meeting.",,"2026-01-09 15:22:34","2026-01-13 07:03:45",1
63,1,00100165,"explained the targeted clients for BIMAS and our mission to include youths and also women 100%  in this group whom had attended were women",,"2026-01-09 15:22:34","2026-01-14 19:10:19",1
66,1,00100195,"trained, emphasized also having youth and male gender in the group",,"2026-01-09 15:22:34","2026-01-14 16:38:40",1
111,1,00100311,"Explained  the mission  and vision,financial  inclusion
Well understood",,"2026-01-09 15:22:35","2026-01-13 09:24:37",1
468,1,00500322,done,,"2026-01-09 15:22:39","2026-01-14 12:11:51",1
476,1,00500353,done,,"2026-01-09 15:22:39","2026-01-14 11:34:27",1
483,1,00500415,"done and explained",,"2026-01-09 15:22:39","2026-01-13 13:16:22",1
498,1,00500366,done,,"2026-01-09 15:22:40","2026-01-14 11:28:19",1
505,1,00500412,"done and explained",,"2026-01-09 15:22:40","2026-01-13 12:52:29",1
1005,1,00800024,"this was well delivered members now have the clear understanding",,"2026-01-09 15:22:46","2026-01-13 17:14:57",1
1008,1,00800039,"No comment",,"2026-01-09 15:22:46","2026-01-12 16:49:44",1
1282,1,01100073,"Explained to the members.",,"2026-01-09 15:22:50","2026-01-14 15:30:36",1
1285,1,01100081,"Shared the Mission and financial Inclusion agenda.",,"2026-01-09 15:22:50","2026-01-12 18:20:23",1
1290,1,01100099,"Shared with the clients",,"2026-01-09 15:22:50","2026-01-15 11:39:47",1
1291,1,01100100,"Explained to the clients",,"2026-01-09 15:22:50","2026-01-14 12:52:03",1
1294,1,01100114,"Explained to the clients.",,"2026-01-09 15:22:51","2026-01-15 13:23:36",1
1296,1,01100122,"Bimsas mission noted.",,"2026-01-09 15:22:51","2026-01-12 17:14:07",1
1297,1,01100123,"Challenge on the new funding model without savings",,"2026-01-09 15:22:51","2026-01-12 16:28:29",1
1299,1,01100130,"Shared with clients",,"2026-01-09 15:22:51","2026-01-13 08:46:25",1
1303,1,01100141,"Explained to the client",,"2026-01-09 15:22:51","2026-01-12 23:39:21",1
1306,1,01100150,"Explained to the clients.",,"2026-01-09 15:22:51","2026-01-15 12:28:34",1
1307,1,01100155,"Explained to the client.",,"2026-01-09 15:22:51","2026-01-13 16:05:58",1
1308,1,01100156,"Explained to the client.",,"2026-01-09 15:22:51","2026-01-13 14:57:49",1
1310,1,01100160,"Shared with the group",,"2026-01-09 15:22:51","2026-01-14 11:14:45",1
1313,1,01100021,"Shared with the clients.",,"2026-01-09 15:22:51","2026-01-16 10:45:59",1
1328,1,01100083,"Explained to the clients.",,"2026-01-09 15:22:51","2026-01-15 17:23:58",1
1332,1,01100095,"Explained to the clients",,"2026-01-09 15:22:51","2026-01-14 10:19:51",1
1335,1,01100106,"Shared with members",,"2026-01-09 15:22:51","2026-01-14 14:40:04",1
1343,1,01100125,"Explained to the clients.",,"2026-01-09 15:22:51","2026-01-16 12:53:15",1
1348,1,01100136,"Explained to the clients.",,"2026-01-09 15:22:51","2026-01-13 11:57:05",1
1349,1,01100139,"Shared with the group",,"2026-01-09 15:22:51","2026-01-13 19:04:21",1
1352,1,01100145,"shared with the group.",,"2026-01-09 15:22:51","2026-01-13 18:25:02",1
1353,1,01100148,"Shared with the clients.",,"2026-01-09 15:22:51","2026-01-13 16:45:00",1
1354,1,01100151,"Mission explained",,"2026-01-09 15:22:51","2026-01-13 13:51:52",1
1355,1,01100152,"Shared with members",,"2026-01-09 15:22:51","2026-01-13 12:44:39",1
1357,1,01100154,"Explained to the members.",,"2026-01-09 15:22:51","2026-01-13 09:59:39",1
1358,1,01100158,"Explained to the clients.",,"2026-01-09 15:22:51","2026-01-13 11:31:52",1
1359,1,01100159,"Explained to the clients.",,"2026-01-09 15:22:51","2026-01-13 10:42:56",1
1562,1,01200362,"Members really feel good being with Bimas",,"2026-01-09 15:22:54","2026-01-13 11:29:08",1
1569,1,01200422,Shared,,"2026-01-09 15:22:54","2026-01-14 16:46:44",1
2235,1,01600352,"Discussed at length and group well understood.",,"2026-01-09 15:23:01","2026-01-13 11:31:26",1
